path,labels
ab772efb7c,क्षमा गरिदिन भने
e2c9358c11,ड्रिमिङगले समाजका नियम
db93866cd7,सो नक्साको लेखाधिकार
db8d886bc0,धरतीमा मनुष्यको भेषमा
a89fa78803,यो नाचमा साताभर
32970612da,यसरी केही दिन बितेपछि
6a18757d55,स्वीकार्नका लागि
ebfbb3144c,उनी चलचित्र निर्माता
f2b0cf68e5,पुराणवाचन सन्तोषजनक भएपछि
56b2cf822f,कृषि भए पनि
c97ad76797,हक आन्दोलनको देशव्यापी
7d300c6ef8,जो सम्पन्न तथा
54f51fecdd,मात्र पाइने पंक्षी हो
2b6f43715b,धेरै पहिलेदेखि राजनीतिक
33392e5578,विहे जय सेनको
783f7aaaa9,बनि रह्यो तर
0bb6c2dbc3,लेखकको रूपमा उनको पहिलो प्रकाशित रचना एउटा लघुकथा जुनि थियो।
385c0f5239,यो जिल्ला नेपालको
0b7cc01ca7,महिलाहरू ७५ प्रतिशत
9b777d2c8f,जब सहसा कुनै
26bdc20bab,मनुष्यको कल्याणको लागि
37119b5b1a,यस वनस्पतिको उपयोग
80304c6547,औकाद अनुसार अन्य
f87405d47e,तर एक उपग्रहभन्दा
ce59ebf0f5,मार्ने सिद्धान्त बनाउनुलाई
d4610eebbd,उचित हुँदैन
293bd25109,तत्कालिन आदर्श नारी क्लब
f56f1c9997,प्रतियोगीहरूको लागि पुरस्कार
3f2772e940,अन्तिम चरणसम्मको
79038f5b42,मनको मै हुँ
8b27bf64b7,प्रोस्पेक्ट हाई स्कुलबाट
nep_2099_8866949755,धालिसको धेरै मात्रामा उत्‍पादन हुन्छ
31db07fbff,माओवादी गोरखा सचिव
e84ef4ac40,किटिङले लेखापालहरूलाई बदलिदिए
f88dd1e2fb,केरलका संस्कृतिलाई
6051de980a,यस बारे केही पनि
Voice964,येनकेन प्रकारले चारैतिर उम्रेका छन्‌ अव्यवस्थित किसिमबाट; भूप्रान्त कुनै छैन जसमा यो हरियो जाला नफैलिएको होस्‌ ।
0202c4e2e3,पर्सियस शाखामा
e9d1b92bd3,विशेष गरी नेपालको
4dacc5cf39,व्यक्तिले नभई इन्टरनेट
a9619a7212,उनले आविष्कार गरेको
d9e184d079,यी जनताको अधिकारलाई
916d24270e,मूल कथाको अन्तमा
52987d5a14,चित्रकला विज्ञान
4b7dabc489,हरेक व्यक्ति जो
f56d82a3a8,नाम र चिह्नहरू
bfcebbb05d,मौलिकता प्रदान गर्न
184f87ca5b,त्यति लामो ग्रेटवाल मुनिबाट वारिपारि जाने उद्देश्यले मुख्यमुख्य ठाउँमा प्रवेशद्वार बनाइएको छ।
e6d97ab4ea,यसको अर्थ
nep_9407_7452562092,यो पत्रिकाको प्रकाशक संस्कृत छात्र सङ्घ शाखा हो
b83169395b,यो जिल्ला २४४
nep_0546_5309728526,यसको पहिलो प्रति दुई हजार एक्काइसमा प्रकाशित भएको
7fc722583f,गयासुद्धिन तुगलकले डोयराज्यमा
a119f922f6,कार्य प्रस्तुत
87516fa195,कुरा हुनुपर्छ
cfb4b99ac1,खराब हावा
89655428da,डल्फिनलाई पानीभित्र सिकाएका हरेक गतिविधि एकैपल्ट सिक्न सक्छ।
cf821d85b1,डिसेम्बर १९३१ का
70492c9e6e,आसावादी हुनु भनेको
f7ef8df937,सुनेको छु त्यहाँ
c83fe9633d,ठाउँमा रहेको अड्कल
e14d094452,चितवन जिल्लाको पुरानो
ded05e0017,यो पनि लेख
478489e5e1,गर्न आग्रह गर्दछु
ac640e56a1,विशेषता बोकेको यस
98e208cb2e,गरिएको छ त्यसले
5d85edcdbe,जस्तै फुल क्रीम टोन्ड
c27ec40c13,१ सय ८
ea8c56db4f,डाफे कसरत प्रधान
019cf83643,शताब्दीमा पहिलोपल्ट प्रस्तुत
070d257532,अरुसँग रहँदा भौतिक
91cadbde67,काँस्य पदक पाउनुभयो
74e3f909f2,नभएको कुरा बताई
6df7313970,भएको क्षेत्रबाट टाढा
f0b2ce2389,अर्थका साथ आफ्नो
8f134ee581,उनी परशुराम कहलाए
be4433be88,रोक्नका लागि एउटा
7532a29b5c,रोगहरू निको हुन्छन्
ff487e0f7b,विद्वानहरूका अनुसार
af817e822f,अप्रेसन लुना अमेरिकन
7d2b45a478,महिला थिइन्
e49ec86c40,गरें तर भएन
c44cf657bd,एक मात्र खेलाडी
d247d4f157,भन्दा एक रहेछन्
ed75695bee,नेपाली चलचित्रका निर्माता
e606005824,काम गर्‍यो ताकि
7bc33c8766,डली बुस्टर एक
96338f65e0,आवश्यकता विद्यार्थीहरू र
dfe5978a8b,कम्तीमा राष्ट्रिय समुदायका
793b97a37b,नेतृत्वमा निर्वाचनमा जीत
d863002dad,बाहुला भएको हुन्छ
d569511747,साधु पुजारी आदि
a53890f3f0,र ऊ लोकसभाका
add76caa6e,सूत्रबाट अध्ययन गरेर
9ac5e0cbc0,यसका धेरै सहायक
8ccd04d294,विकसित भयो
673babee84,२००४ मा सारा विश्वमा यसको आनुमानिक उत्पादन १० करोड ९० लाख टन भएको थियो।
de9ca86e9e,तातो म्याग्मा
9ca42b591a,तारेर खाएमा जस्तो
f4cc13b414,राजनीतिमा सिटहरूको आरक्षणको
e9d7ee3533,ब्यारेलहरू खच्चडलाई
d1b543e370,आगमन तुरुन्त
0903e89820,५६ केविपिएस बराबरको
e65e6c8327,प्रभुत्वमा आए र अधिक
b605ed15f7,आएका थियौँ
bc6ea72337,सर्वप्रथम यो आवेदन
27e81f08eb,फ्रान्स पठाइयो
b90eeada9a,धार्मिक पुस्तकमा उल्लेख
d8a706b19d,नेपाल सरकार सङ्गठित
2e52e84a4f,आफ्नो कुलदेवीको रूपमा
63fa420e65,नं २ बागलुङबाट
3b426d03e2,जेन डार्लिङ्ग चेकमा
ae1704b94a,बाबुको कारणले पनि
ad2c79e7e8,प्रायले अङ्कको प्रयोग
d3b1e7a486,कारण अपर्याप्त हुन्छ
22de5da7bf,प्लेग शब्दको त्यतिबेला
6ca414df1b,मुरी बधाई
710b001635,महिला थिइन् र अन्तरिक्ष
02ce5ee966,आफ्नो मतलाई पुष्टि
c83867f809,जावीले अटेम्प्ट गरिएको
bfbd579b3a,स्तरीय देखिन्छ
f537e108a8,चार छोराहरू धौतोदन
78ec72c2a4,यस्तो छन् जसको
89cc4bc654,नेपाली फौजले डोटीमाथि
d72920ea6c,थुप्रै डकुमेन्ट्री
4acb995956,पेज बनाउन सक्छु
778d304fd3,४५ जना अनाथहरू
fd92289635,भारतीय युरोपी तथा
12ac7fd683,तथा उपकारका मानिँदैनन्
cdb36b2a13,किरण केसी
e3404d7e0b,श्रेष्ठ साहना प्रधान
ef0dba9b63,पनि दिनानुदिन कमजोर
d4f229b4ef,नामले वा ओशो भगवान
00798e53d6,पिसाब रोकिएमा कब्जियत
fd46379ac9,लामा समाजका अति
62a032d25f,मेसिन हो जसले
a3d517df80,बिना अनुसन्धान र केवल राशिका आधारमा लगाएको रत्नले तपाईँलाई दुस्परिणाम पनि प्राप्त भैरहेको हुनसक्छ।
7f00cd8a29,चट्टान हुन्।
fb6902fd9d,आधारित देखिन्छ
a3e11f4db9,नेपालमा हाल ३८
b0d831d0b2,ज्योतिषहरूको सल्लाहअनुसार देश
ed5c2995fe,तुगलकले तिरहुतमाथि
28911a3627,भिमनगरमा भएको थियो
8c72259927,सल्यान बाँकेको कोहलपुर
9af78f11fb,कृषि मन्त्रालयका अनुसार
ae5ac675c2,जन्म २७ अगस्ट १९६८
50606347a7,हत्केलामा नै अट्छ
dff51c1459,साथै थुप्रै भिडियो
e78e280a10,६ सय वर्षअघि
e1f6b4039d,आफ्नो पँखेटालाई खुट्टाजस्तै उपयोग
4f1a4c7361,ताराहरू
3bdedd59fd,ल्याइएका थिए
e5abf4c848,भित्रका यी दुवै
a8c50506ee,सुरुआत गरेको थियो
68aad31c94,३२ इन्च पूर्वी
1998774e46,द्वारा सास फेर्छन्
ff8711de71,हलिवुड प्यालेडियम ट्रोबाडोर
dec248ec45,गुप्त नै थियो
d229bfe862,लेख्ने गर्थे र यिनलाई
eeacec3058,डाम्ही मडै नेपालको
52e5b859c7,लागि धेरै काम लाग्ने रहेछ
fe02a6fb83,वर माँग्नलाई भने
6d662e2fc2,त्यही प्रकारले एल्फा धनात्मक एल्फाथैलैसिमियाका मामलाहरूमा पनि मलेरियाको दर कम पाइन्छ।
90b4a75a18,नै खतरामा परेका
ce9796f27b,सामान्य कार्यकर्ताको रूपमा
ec3ccfcb77,मन्त्रालयमा खर्च प्रतिवेदन बुझाउने
d4e5f7ddfd,पोत्लाको लेबालो
abac4f3a0c,तिमी वर माग
c10843ea82,अनुसार तकसेरा बागलुङ
a9c221c1ef,अगाडिबाट नेतृत्व गर
f9460fe4c0,वृत्तचित्र बनेको छ
289d8e42f5,धनुषा जिल्ला पञ्चायत
a291902341,भएको बेला एकपटक
df0f134997,९ गते सिरहा
c97d761ef9,लाई औगस्टा जर्जियामा
ab29241390,कमला साइन्स क्याम्पस
86c60283ec,बाध्यता छैन
da242a3d0e,९१ लाख भयो
988784b29f,धेरैको जवाफ हुनसक्छ
ebd5bf4305,शिलापत्रमा उल्लेख छ
bca680d3d1,यस कारण श्रीकृष्ण
