path,labels
03342349ae,चलचित्र अभिनेत्री हुन्
908b601869,सुधार्ने कुरा सोचिरहन्थे
d0b7219828,कवि बैरागी काँइलाद्वारा
f321a14b43,नै सन् २००७ को
c980b7a067,वार्ता भई १२
b76117c287,६ कोस टाढा पर्दछ
985527bb31,मिल्दैन झर्को
dd181c5183,गर्दै मेरो हजुरलाई
706551799d,खेलाडी हुनुहुन्छ
8b53702063,सालको मदन
af438f4e63,त्यस देशको समर्थन
1bddafcf56,ईपू ९६० ईसा
e40f53ca19,त्यतिबेला फुटेज सङ्कलन
6e9fd97dca,त्यो १५१ रूपैयाँको
065d75ea73,मावली बसाइले
8b2d5e80ae,क्षेत्र त्यतिबेलाको किराँत
5b31d94923,सूची दिइएको छ
5fb2493c6b,म निराश भएँ
8c71df6b7f,यो झ्याम्टा
b247a98bed,सरिक अन्य गैरसरकारी संस्थालाई
8e01e75e13,ईश्वर भित्र र बाहिर
ae3a130e8b,तीव्रतालाई बढाउन पनि
7f9d758c89,इतिहासकारहरूले वर्णन गरेको
fcb98a8351,व्यापक समर्थन
4649fc8bec,पुग्न एउटा गोरेटो
4cfff0a221,हुने पनि
a627d599d2,शृङ्खला अभिक्रियाहरू आरम्भ
768d52acdc,२०४५ सालको भूकम्पपछिको
dfe3611e9d,परिणत गरिसकेको छ
c3cb806432,समाजसेवी थिइन्
eb0f70a8c7,अङ्कित छन्
e35242e39c,सेर भाजी टका
f5bc4dcf7b,९ लाख रूपैयाँ
Voice994,यस्तै धार पश्चिमपष्टि पनि छ- पछवरिया धार ।
d2ddd7821e,अद्वैत ज्ञान नै
c501701c8d,सम्मेलन प्रयाग संगीत
e9ae45c262,गाविसमा रहेको छ
9df999663c,त्यो पनि स्कटिश
a40062ed68,लेखे जसले जेलहरूको
acf5f98624,चौहा नेपालको सेती
f013995e04,बनाइने भात पकाएर
9d9da05c23,खैर मैले तपाईँंहरूले
35de9e6eaa,जिल्लामा सीमा नदीको
e491e566b9,यस्तो पहिला गोल्फ
d51df036ae,एजेन्डा हुन्
f695eac68a,विल्सनसँग विवाहित छन्
a176fcb0d8,० पनि एक
e48ee74980,शिवप्रसाद रौनियारद्वारा भएको
be4e84b5a6,शालिग्राम शर्माद्वारा भएको
e2cf87ea89,मानिस जनावर तथा
a80b052fb5,परिणाम घोषित गरिन्छ
f970062686,माछी मारन हो
bb9f8cc4d5,भोजन गर्ने गरौँ
71e406950f,भएको विश्वास गरिन्छ
bed1959a23,जेलबाट छुटेपछि
21e953213e,लक गर्दा त
660c621a2d,त्यसको नेतृत्वमा
26e59a2e59,केवल यति भनाए
d23f21dec1,छितर वितर छ
aeaebdcc85,प्रेरणाका श्रोत हुन्
bd9f05205a,पृथ्वी दिवसको निर्माणमा
4d72892ac2,भूमिलाई पूर्व स्थितिमा
nep_3614_5306026609,यो चरा नेपाल बाहेक भुटान चीन भारत लाओस म्यानमार थाइल्यान्ड भियतनामको रैथाने चरा
a70ed54675,राजाको पुत्र
91c3761d73,सुगमतापूर्वक जीवन व्यतीत
0e9ed198a5,सीमानाको रूपमा रहेको
048e34ae88,निर्माण कार्यहरू
35e3ca5b1a,क्याम्पस गोरखा क्याम्पसलगायतका
9bc8838774,अवधिमा हुन्छ।
ecd99c4209,२० लाखको हाराहारिमा
f51db4fb17,पुरुष र २०.७
e30e582038,कार्यक्रमको शिक्षण
d02fcf30bc,आदर्श उमावि
56437b578c,सतर्क थिए
03a0afd4de,यो रङ्ग नीलम
f5a9376c38,यस नक्षत्रको शब्दार्थ
6e1bdf6312,श्री महेन्द्र उमबि
a60216c545,अनुमोदन नगरेको
c763f6c17b,रूपमा विकसित गर्ने
6a805e93c7,आफन्तहरूको सुखद स्वर्गवासको
c09ea7bc83,च्यानाम नेपालको पूर्वाञ्चल
8b7f120207,यो उमेरसम्म शिशुलाई अतिरिक्त पानी पनि दिनुपर्दैन।
ac8172c709,छिटो छरितो प्रभावकारी
fef504252a,द्रव्य कोष निजादती
bea215f410,प्रकाशन हुने गर्छ
ccfba66f15,जोन मिल्टनद्वारा
b4a9ab4466,गोदावरीतिर पठाइदिइन्
4ec6aa835f,सकियो भनी ठानिदिनुहोला
74ebffeffa,सधन्यवाद सहित यो
badf947951,भन्ने ठाउँमा भएको थियो
a7d22b48e8,सम्पादन गर्न खोज्दा
f87a198a41,क्रान्ति नहुने आफ्नो
9d34e72db3,सहभागी हुन्छन्
86bf2a742a,किशोर पहाडीद्वारा
519c5e3572,यसको प्रभाव संदिग्ध
f648e5a7c4,उपचार गरेको थियो
79de1feef0,तपाईँले आफ्नो गाउँघरको
d886cded51,उनको यो बानीले
10a426a8c3,सन् ९८७ मा
7dac1ad810,चितवन राष्ट्रिय निकुन्ज
6e21d054f5,खोपिएको छैन
92f2b742e2,पनि स्थापना गरे
f3e181dd4c,बन्दरगाह हो
c5388473f7,अद्वितीय विज्ञान हो
223df784fc,ह्रास हुँदै
6bebe01cd7,बसोवास गर्दछन्
ff83c1284a,जिल्लामा पर्ने भौगोलिक
b83c02b382,जानकारी गराउँदा सुनुवाई
6a2e81cc7d,सबै डाँडा सल्लाका
55e1c5f65a,मा चिन तथा १९४०
95f3e3c488,यिनीहरूमा जीवाणु तथा
nep_6329_4870824139,ठुलो वाहन जसले मान्छे परिवहन गर्न सक्छन्
