path,labels
ae8ae67278,भए पनि त्यसमा
4413d8370a,यादवहरूसँग सहायता माग्नमा
812245bff8,घनिष्ठ सम्बन्ध रहन्छ
8ac781d059,यसो गर्ने उनी
983d156c5f,मार्गबाट पुग्न सकिन्छ
48eb0a4397,जापानी परिसम्पत्ति
e08cc64b68,सेनाको माप
fb73d73ab4,बदल गर्ने अधिकार
69781ca38d,यसपछि यस स्थानमा
c269250e70,जुन सम्बन्ध स्थापित गर्न उनीहरूलाई हजारौँ वर्ष लागेको थियो।
e0b9896e08,तपाईँहरू पुत्रको वियोगमा
dd79eb415a,यहाँ बसोवास गर्ने
6981b268bb,यसलाई नेपालको स्विजरल्याण्ड
1646750430,पुरस्कार पाएका थिए
82bb0fd3f9,कार्यमा ध्वन्यात्मक रूपान्तरणको
e65ad9ece8,मेटावाई सल्फाइड
1e4820de94,नगरको मुख्य बजार
debfdd73bf,भदौ २९ गते
450ac20301,एक लेखका अनुसार
4c5448de39,दुर्योधन कर्णलाई आफ्नो
f9a12fb709,निरन्तर योगदान
007dc08844,तरिकाले श्रेणीकरण गरेर
c8279d1d2e,हो जो कर्नाटकको
d8555ebb2a,दुई सय जातिहरू
46ee87ada6,प्लेटोले त्यस्ता
e24180f28c,टु पार्टिसिपेन्ट्स इन
78d999a621,कसरी हुन्छ
f28bb2944e,काम गर्न
f0bd926eb6,भुटान पिपल्स पार्टीका
4e8c36535e,स्वादिष्ट बनाउनको निम्ति
9fdfe29bd1,अर्के परेछ
acc202cd38,वेग आनन्द
e415313255,मानिन्छ उहाँलाई
9c2978e2c4,दिनसम्म गरिन्छ
2adda83799,अवस्था छैन
bf502d5bc1,चलचित्र क्षेत्रको चर्चित
a83a7cdb88,वनमा एक्लै देखेर
89a34622a7,मलाई समर्थन गरिदिनुहुन
01e5324865,साल तिर स्थानीय
a37a6a924a,यो संस्था कुनै
bcd094007f,दोस्रो पटक यस
bfaf8147ba,ओभरमा ९ विकेट गुमाउदै
edcff91f30,नामहरूमा तपाईँले बारलाई
f47d6ad249,साधारण कमी आएको छ
001c182577,गाना कुटेर गाईको
f6ef4e6e88,भएकाले नाक भित्र जाँदा
139d252dd1,साहित्य सम्मेलनमा
6b33e7dd8f,प्रेमको प्रतीक मानिन्छ
52b1da427d,२०६० असार २९
0a29c01cbf,दूध हालिन्छ जसबाट
7178fbc0a9,कन्ठस्वर सन्देशमा
8ce2e90ee5,पाटे छाना अड्याउन
18c435add5,प्रश्न यी हुन्
e02e4954a3,जन्मकाल द्वापर
ed88b6d9e9,युवा तथा खेलकुद
86110bb52c,कार्य धर्मराज थापाद्वारा
150518f63e,र कक्षिवुड स्टुडियोहरूले
c8b67bc9b5,त्यस्तै पहिले श्यरवा
c202eeeba2,सन् २०१३ मा भएको
a53a32b974,पटकपटक पक्राउ थुनामा
4b06f9a8fa,अङ्गको अधिकारी कर्मचारी
4fd4ea49b8,हेलेन कस्टेलो उनको
f044ceb2fb,भोजघरले घेरिएको यस
db30ebd0b2,कारोबारका रूप हुन्
f6a0606a99,राशीहरू मूलत
24d8e53f96,उनको राजनैतिक
db59e33715,मरेका राजकुमारको पुनर्जन्ममा
4ecf4f1877,पूजाआजा गर्छन्
229330f9ff,हुनेखानेले सुनकै पनि
bb1fb2a550,प्रस्तुत गरे
f72a05cfc8,एक ठाउँमा भेला
b710c5af9e,र जनजाति स्थानीय
nep_0546_6701968493,कर्णबहादुर मल्लको जन्म सुदूरपश्चिम नेपालको डोटी जिल्लामा भएको हो
c4f3080f68,एउटा इतिहास छ
8f1ad9bc8f,म अब जथाभावी
cdcfc222f6,शान्ति ठटाल
42e161c144,भाषामा शब्द
dd6acd79c0,विक्टोरिया नामले जानिन्छ
8b08c11329,२०६० ४ मेरो
57c22a6d30,यतिका दिन
d52e4236cf,देखि अन्तर्राष्ट्रिय
974811e58c,मृगौलाले आफ्ना लाखौ
89e2e0f95d,ल्याएको बुटी यहीँ
f790ce77bc,अन्तर्राष्ट्रिय स्तरका नेपाली
7b3a998289,भन्ने अनुमान गरिएको छ
fc494bba5c,घर तथा भाँडाकुडा
4cfc9000d5,नेपाल स्काउटले
f3049bb2ad,पुरुषले निष्ठापूर्वक पवित्र
3ec67281d1,वर्तमान नेपालको राजधानी
4e4bb0db88,जुलाईमा रोहिणी नामक
f0a427c02a,गरिमा बृद्धिमा त्यसैले
35dacdee42,स्विट्जरल्याण्ड का चिकित्सक
8b1883032e,यो ठाउँ निकै नाम
cdac049fc1,बन्दापछि तेस्रोमा पर्छ
78117e7454,जङ्गबहादुरको निवास थापाथलीमा
b65abeb729,अत्यन्तै रमणीय रहेकोले
512984ad47,मुनाफा वितरण नगर्ने
2343f96413,१५ जून १९३८ का
3c4690ceef,त्यस दिशाको सम्पूर्ण
66cc09b70f,हुँदै जान्छ
f29ca62179,या मेट्न चाहनुहुन्छ भने
9697bfe537,कलेज गोल्फको क्षमताशाली
8a7544bc6f,चूर्ण बराबर मिसाएर
2223399c34,यो फिल्मको खतरनाक
1db9b789c7,सहायता पृष्ठको
30296bc65c,राजतन्त्रसँग सम्बद्ध एउटा
fc81090686,दिनु परेमा मेरो
2a0a2fe87a,मान्छे पुन फर्किएर
a1b10d1643,जिल्ला सदरमुकाम मान्मबाट
f0319f7be2,१६९ का आधारभूत
08a04ed389,गाईघाट त्रियुगा जोडने
d7c5299a6e,यसलाई हप्ताको
65d60adc52,उदयपुर सिमेन्ट लिमिटेड
df0df57041,लगाउन सक्दछ
d680be0cbf,भैरहेका हुन्छन्
701be0b1a5,त्यसपछि उनीहरूले
ab7916529e,बुधकर्कट चन्द्रसिंह सूर्यकन्या
a72f471679,प्रवेश गरी विभिन्न
nep_0546_3220286793,अमेरिकी अभिनेत्री र गायकगीतकार
f3f22af376,भष्मासुर माफियाहरू
52d67db45a,वस्त्र हो
35b65f591c,तीतो हुन्छ तर
c6f83d2917,पूर्वमा युक्रेन र
45b5335a4a,दिएको धिक्कार
73e0977d58,भन्नु बताउनु
ddcf81e6d4,च्याउहरू चम्किला र
f27b672d55,अङ्क लेखेर विभिन्न
db19bf4f29,अनेक भ्रमहरूको
e7349c4a06,बाहिर फालेमा डन्डी
4453f3f07b,थियो र ती यसमा
0d8352f7b5,मुहम्मद साहबले पछि
bdf8cbe10b,वडा नं. १
84bebe738d,धौतपाप सर आदि हुन्
f7c4bc33ec,मासुको डल्लो थियो
ff7465e0f1,अनुसार त्यतिबेला जङ्गबहादुरले
f7c03d7fe1,साथीहरूलाई पुनःसकृय
d18cf574df,क्रमोन्नत गरे जसले
